Symbol,unit,lot_size,pip_size,Digits,LotSize,PipSize,VolumeInUnitsMin,VolumeInUnitsMax,VolumeInUnitsStep,Spread,TickSize,TickValue,SwapLong,SwapShort
EWY.US,USD,1,0.1,2,1,0.1,0.1,250,0.1,0.01999999999999602,0.01,0.01,-6.23,1.03
EWZ.US,USD,1,0.1,2,1,0.1,0.1,250,0.1,0.010000000000001563,0.01,0.01,-6.23,1.03
EXI.US,USD,1,0.1,2,1,0.1,0.1,250,0.1,0.28000000000000114,0.01,0.01,-6.23,1.08
EZA.US,USD,1,0.1,2,1,0.1,0.1,250,0.1,0.5,0.01,0.01,-6.23,0.93
FAN.US,USD,1,0.1,2,1,0.1,0.1,250,0.1,0.240000000000002,0.01,0.01,-6.23,1.03
FXI.US,USD,1,0.1,2,1,0.1,0.1,250,0.1,0.010000000000005116,0.01,0.01,-6.23,1.03
GDX.US,USD,1,0.1,2,1,0.1,0.1,250,0.1,0.030000000000001137,0.01,0.01,-6.23,1.08
GDXJ.US,USD,1,0.1,2,1,0.1,0.1,250,0.1,0.03999999999999204,0.01,0.01,-6.23,1.08
ICLN.US,USD,1,0.1,2,1,0.1,0.1,250,0.1,0.010000000000001563,0.01,0.01,-6.23,1.08
IEF.US,USD,1,0.1,2,1,0.1,0.1,250,0.1,0.010000000000005116,0.01,0.01,-6.23,1.13
IEV.US,USD,1,0.1,2,1,0.1,0.1,250,0.1,0.13000000000000966,0.01,0.01,-6.23,1.13
IGE.US,USD,1,0.1,2,1,0.1,0.1,250,0.1,0.020000000000003126,0.01,0.01,-6.23,1.03
IGF.US,USD,1,0.1,2,1,0.1,0.1,250,0.1,0.00999999999999801,0.01,0.01,-6.23,1.08
ILF.US,USD,1,0.1,2,1,0.1,0.1,250,0.1,0.00999999999999801,0.01,0.01,-6.23,1.03
INDY.US,USD,1,0.1,2,1,0.1,0.1,250,0.1,0.020000000000003126,0.01,0.01,-6.23,1.23
IUSG.US,USD,1,0.1,2,1,0.1,0.1,250,0.1,0.030000000000001137,0.01,0.01,-6.23,1.13
IWM.US,USD,1,0.1,2,1,0.1,0.1,250,0.1,0.009999999999990905,0.01,0.01,-6.23,1.13
IWV.US,USD,1,0.1,2,1,0.1,0.1,250,0.1,0.049999999999954525,0.01,0.01,-6.23,1.23
IXC.US,USD,1,0.1,2,1,0.1,0.1,250,0.1,0.00999999999999801,0.01,0.01,-6.23,1.08
IXG.US,USD,1,0.1,2,1,0.1,0.1,250,0.1,2.280000000000001,0.01,0.01,-6.23,1.03
IXP.US,USD,1,0.1,2,1,0.1,0.1,250,0.1,0.5300000000000011,0.01,0.01,-6.23,1.03
IYR.US,USD,1,0.1,2,1,0.1,0.1,250,0.1,0.009999999999990905,0.01,0.01,-6.23,1.08
KBE.US,USD,1,0.1,2,1,0.1,0.1,250,0.1,0.00999999999999801,0.01,0.01,-6.23,1.13
KRBN.US,USD,1,0.1,2,1,0.1,0.1,250,0.1,0.45000000000000284,0.01,0.01,-6.23,1.23
